Symbol,DATE,CLOSE
HDFC,18-Feb-20,2318.8
TCS,18-Feb-20,2215.75
AXISBANK,18-Feb-20,733.65
LT,18-Feb-20,1286.35
TATAMOTORS,18-Feb-20,161.6
KOTAKBANK,18-Feb-20,1691
BHARTIARTL,18-Feb-20,548.25
INFY,18-Feb-20,797.65
POWERGRID,18-Feb-20,185
MARUTI,18-Feb-20,6781.1
ONGC,18-Feb-20,99.3
TATASTEEL,18-Feb-20,431.4
ASIANPAINT,18-Feb-20,1863.65
HINDUNILVR,18-Feb-20,2234.4
SUNPHARMA,18-Feb-20,408.65
NTPC,18-Feb-20,109.6
ZEEL,18-Feb-20,245.6
COALINDIA,18-Feb-20,171.85
ITC,18-Feb-20,203.85
VEDL,18-Feb-20,140.55
EICHERMOT,18-Feb-20,18760.35
IOC,18-Feb-20,112.65
DRREDDY,18-Feb-20,3251.35
BAJAJFINSV,18-Feb-20,9529.5
TITAN,18-Feb-20,1311
TECHM,18-Feb-20,838.8
ULTRACEMCO,18-Feb-20,4475.7
UPL,18-Feb-20,585.2
M&M,18-Feb-20,523.2
HCLTECH,18-Feb-20,607.05
NESTLEIND,18-Feb-20,16403.85
WIPRO,18-Feb-20,244.05
BAJAJ-AUTO,18-Feb-20,3082.5
BRITANNIA,18-Feb-20,3066.45
JSWSTEEL,18-Feb-20,284.8
GRASIM,18-Feb-20,723.9
GAIL,18-Feb-20,119.45
HEROMOTOCO,18-Feb-20,2252.65
HINDALCO,18-Feb-20,184.35
INFRATEL,18-Feb-20,210
CIPLA,18-Feb-20,436
ADANIPORTS,18-Feb-20,366.6
RELIANCE,17-Feb-20,1478.25
SBIN,17-Feb-20,314.2
ICICIBANK,17-Feb-20,541.6
HDFCBANK,17-Feb-20,1217.15
BPCL,17-Feb-20,461.65
YESBANK,17-Feb-20,37.15
BAJFINANCE,17-Feb-20,9528.85
INDUSINDBK,17-Feb-20,1172.95
HDFC,17-Feb-20,2350.25
TCS,17-Feb-20,2203.25
AXISBANK,17-Feb-20,738.4
LT,17-Feb-20,1280.2
